Genomes	arCOG Taxonomy	Public/Private	Completeness	Contamination	MAG Size (Mb)	Predicted MAG Size
GCA_001940725_1_ASM194072v1	Kariarchaeaceae	Public	72.43	4.21	4.843591	6.179
GCA_001940755_1_ASM194075v1	Heimdallarchaeaceae	Public	79.37	2.34	2.27869	2.749
GCA_002728275_1_ASM272827v1	Kariarchaeaceae	Public	83.18	1.87	1.406929	1.644
GCA_002825465_1_ASM282546v1	Thorarchaeia	Public	92.06	5.3	3.51175	3.791
GCA_002825515_1_ASM282551v1	Thorarchaeia	Public	90.19	2.34	3.487971	3.83
GCA_002825535_1_ASM282553v1	Thorarchaeia	Public	84.58	1.01	4.389059	5.066
GCA_003144275_1_ASM314427v1	Hodarchaeales	Public	93.69	1.87	3.94826	4.197
GCA_003662765_1_ASM366276v1	Thorarchaeia	Public	85.05	5.64	2.322715	2.67
GCA_003662775_1_ASM366277v1	Thorarchaeia	Public	95.33	9.42	4.295742	4.496
GCA_003662805_1_ASM366280v1	Thorarchaeia	Public	94.86	8.88	3.024846	3.18
GCA_003662815_1_ASM366281v1	Thorarchaeia	Public	83.49	8.88	2.496771	2.909
GCA_003662865_1_ASM366286v1	Lokiarchaeales	Public	69.41	9.81	3.147059	4.11
GCA_003662875_1_ASM366287v1	Gerdarchaeales	Public	50.78	2.41	1.669071	2.491
GCA_003662885_1_ASM366288v1	Gerdarchaeales	Public	64.64	1.87	2.055492	2.782
GCA_003662935_1_ASM366293v1	Gerdarchaeales	Public	86.45	7.94	2.93976	3.338
GCA_003696825_1_ASM369682v1	Kariarchaeaceae	Public	89.18	8.48	5.753859	6.376
GCA_004376455_1_ASM437645v1	Gerdarchaeales	Public	83.64	8.7	2.676663	3.115
GCA_004376735_1_ASM437673v1	Heimdallarchaeaceae	Public	68.54	8.96	2.030371	2.669
GCA_004524365_1_ASM452436v1	Lokiarchaeales	Public	56.54	0.31	1.894998	2.719
GCA_004524385_1_ASM452438v1	Lokiarchaeales	Public	62.23	0	1.836571	2.53
GCA_004524425_1_ASM452442v1	Lokiarchaeales	Public	71.89	1.56	2.969355	3.804
GCA_004524435_1_ASM452443v1	Thorarchaeia	Public	86.14	0.93	2.770204	3.154
GCA_004524445_1_ASM452444v1	Thorarchaeia	Public	90.19	0.93	2.792701	3.067
GCA_004524515_1_ASM452451v1	Lokiarchaeales	Public	73.21	1.4	3.111768	3.945
GCA_004524535_1_ASM452453v1	Lokiarchaeales	Public	86.09	0	3.66462	4.174
GCA_004524545_1_ASM452454v1	Lokiarchaeales	Public	82.55	1.87	2.547497	2.992
GCA_004524565_1_ASM452456v1	Thorarchaeia	Public	90.19	0.47	3.132667	3.44
GCA_004524595_1_ASM452459v1	Thorarchaeia	Public	92.99	1.47	4.171935	4.464
GCA_004524725_1_ASM452472v1	Lokiarchaeales	Public	73.94	0.47	2.406751	3.034
GCA_004525575_1_ASM452557v1	Thorarchaeia	Public	77.88	6.85	3.054279	3.73
GCA_004525645_1_ASM452564v1	Thorarchaeia	Public	86.84	5.43	4.193637	4.746
GCA_005191415_1_ASM519141v1	Helarchaeales	Public	82.4	2.8	3.84002	4.516
GCA_005191425_1_ASM519142v1	Helarchaeales	Public	86.92	1.4	3.543077	4.007
GCA_005222975_1_ASM522297v1	Lokiarchaeales	Public	77.57	1.4	3.518981	4.308
GCA_005223125_1_ASM522312v1	Lokiarchaeales	Public	89.25	3.27	4.129784	4.574
GCA_007133855_1_ASM713385v1	Lokiarchaeales	Public	53.2	0	2.331489	3.423
GCA_008000775_1_ASM800077v1	Lokiarchaeales	Public	91.74	6.07	4.427796	4.794
GCA_008080735_1_ASM808073v1	Lokiarchaeales	Public	88.32	3.74	4.145068	4.629
GCA_008080745_1_ASM808074v1	Thorarchaeia	Public	92.99	3.74	3.161981	3.384
GCA_008080755_1_ASM808075v1	Lokiarchaeales	Public	83.64	9.35	3.773906	4.391
GCA_008080765_1_ASM808076v1	Lokiarchaeales	Public	75.19	1.4	3.921599	4.895
GCA_010028315_1_ASM1002831v1	Kariarchaeaceae	Public	77.1	6.25	2.289596	2.814
GCA_010028525_1_ASM1002852v1	Kariarchaeaceae	Public	75.7	4.57	2.492798	3.099
GCA_010030355_1_ASM1003035v1	Kariarchaeaceae	Public	63.19	0.93	0.689568	0.943
GCA_011364905_1_ASM1136490v1	Thorarchaeia	Public	82.78	3.27	3.079563	3.61
GCA_011364925_1_ASM1136492v1	Lokiarchaeales	Public	87.85	3.74	3.919328	4.396
GCA_011364945_1_ASM1136494v1	Gerdarchaeales	Public	93.46	8.88	3.440844	3.666
GCA_011364965_1_ASM1136496v1	Hodarchaeales	Public	87.38	1.94	2.973942	3.349
GCA_011364975_1_ASM1136497v1	Lokiarchaeales	Public	86.45	2.34	3.74316	4.25
GCA_011364985_1_ASM1136498v1	Thorarchaeia	Public	83.57	2.34	1.699248	1.978
GCA_011365025_1_ASM1136502v1	Thorarchaeia	Public	83.64	2.8	3.465978	4.033
GCA_011365055_1_ASM1136505v1	Helarchaeales	Public	96.26	4.21	4.677395	4.852
GCA_011366225_1_ASM1136622v1	Gerdarchaeales	Public	75.24	9.63	2.59482	3.237
GCA_011366245_1_ASM1136624v1	Gerdarchaeales	Public	94.86	9.81	4.26652	4.486
GCA_011366285_1_ASM1136628v1	Gerdarchaeales	Public	83.29	8.88	3.653525	4.264
GCA_011366295_1_ASM1136629v1	Gerdarchaeales	Public	88.47	8.72	3.250158	3.625
GCA_011525205_1_ASM1152520v1	Kariarchaeaceae	Public	82.71	0.93	1.329495	1.559
GCA_012798355_1_ASM1279835v1	Lokiarchaeales	Public	85.21	9.35	5.372183	6.167
GCA_013166775_1_ASM1316677v1	Heimdallarchaeaceae	Public	93.46	1.4	3.847693	4.099
GCA_013166835_1_ASM1316683v1	Gerdarchaeales	Public	90.19	7.48	3.557936	3.907
GCA_013375355_1_ASM1337535v1	Helarchaeales	Public	92.21	4.74	4.592678	4.95
GCA_013375405_1_ASM1337540v1	Helarchaeales	Public	83.18	5.61	4.652685	5.435
GCA_013375455_1_ASM1337545v1	Helarchaeales	Public	91.59	3.27	5.309269	5.756
GCA_013375475_1_ASM1337547v1	Lokiarchaeales	Public	85.98	4.21	3.92017	4.47
GCA_013375485_1_ASM1337548v1	Lokiarchaeales	Public	89.25	5.61	4.597616	5.092
GCA_013375495_1_ASM1337549v1	Lokiarchaeales	Public	79.44	4.21	4.243572	5.116
GCA_013388835_1_ASM1338883v1	Thorarchaeia	Public	94.39	3.74	3.013036	3.182
GCA_014728035_1_ASM1472803v1	Thorarchaeia	Public	93.46	4.21	4.328547	4.612
GCA_014728645_1_ASM1472864v1	Lokiarchaeales	Public	61.21	8.71	3.662938	5.084
